intent,snippet
technique to remove common words(and their plural versions) from a string,"'all', 'just', 'being', 'over', 'both', 'through', 'yourselves', 'its', 'before', 'herself', 'had', 'should', 'to', 'only', 'under', 'ours', 'has', 'do', 'them', 'his', 'very', 'they', 'not', 'during', 'now', 'him', 'nor', 'did', 'this', 'she', 'each', 'further', 'where', 'few', 'because', 'doing', 'some', 'are', 'our', 'ourselves', 'out', 'what', 'for', 'while', 'does', 'above', 'between', 't', 'be', 'we', 'who', 'were', 'here', 'hers', 'by', 'on', 'about', 'of', 'against', 's', 'or', 'own', 'into', 'yourself', 'down', 'your', 'from', 'her', 'their', 'there', 'been', 'whom', 'too', 'themselves', 'was', 'until', 'more', 'himself', 'that', 'but', 'don', 'with', 'than', 'those', 'he', 'me', 'myself', 'these', 'up', 'will', 'below', 'can', 'theirs', 'my', 'and', 'then', 'is', 'am', 'it', 'an', 'as', 'itself', 'at', 'have', 'in', 'any', 'if', 'again', 'no', 'when', 'same', 'how', 'other', 'which', 'you', 'after', 'most', 'such', 'why', 'a', 'off', 'i', 'yours', 'so', 'the', 'having', 'once'"
heap sort: how to sort?,sort()
how to write unicode strings into a file?,f.write(s)
create a regular expression object with a pattern that will match nothing,re.compile('a^')
how can i order a list of connections,"[4, 6, 5, 3, 7, 8], [1, 2]"
"plotting within a for loop, with 'hold on' effect in matplotlib?",plt.show()
create new column `a_perc` in dataframe `df` with row values equal to the value in column `a` divided by the value in column `sum`,df['A_perc'] = df['A'] / df['sum']
creating an empty list,list()
converting from a string to boolean in python?,str2bool('1')
how to iterate over time periods in pandas,"s.resample('3M', how='sum')"
appending to dict of lists adds value to every key,d = {k: [] for k in keys}
python convert list to dictionary,"l = [['a', 'b'], ['c', 'd'], ['e']]"
display maximum output data of columns in dataframe `pandas` that will fit into the screen,"pandas.set_option('display.max_columns', None)"
insert element in python list after every nth element,"['a', 'b', 'c', 'x', 'd', 'e', 'f', 'x', 'g', 'h', 'i', 'x', 'j']"
sorting a list of dictionary values by date in python,"list.sort(key=lambda item: item['date'], reverse=True)"
python pandas - how to flatten a hierarchical index in columns,pd.DataFrame(df.to_records())
how to plot a wav file,plt.show()
how to multiply all integers inside list,"l = list(map(lambda x: 2 * x, l))"
reverse a string `a_string`,"def reversed_string(a_string):
    return a_string[::(-1)]"
how to add a new div tag in an existing html file after a h1 tag using python,htmlFile = open('path to html file').read()
split a list `l` into evenly sized chunks `n`,"[l[i:i + n] for i in range(0, len(l), n)]"
get the first element of each tuple in a list `rows`,[x[0] for x in rows]
what is the best way to sort list with custom sorting parameters in python?,li1.sort(key=lambda x: not x.startswith('b.'))
drawing a huge graph with networkx and matplotlib,plt.savefig('graph.pdf')
print 'here is your checkmark: ' plus unicode character u'\u2713',print('here is your checkmark: ' + '\u2713')
list manipulation in python,"var1, var2, var3 = (ll + [None] * 3)[:3]"
php to python pack('h'),binascii.hexlify('Dummy String')
"how to use applymap, lambda and dataframe together to filter / modify dataframe in python?",df.fillna('o')
specifying and saving a figure with exact size in pixels,"plt.savefig('myfig.png', dpi=1000)"
convert column of date objects in pandas dataframe to strings,df['A'].apply(lambda x: x.strftime('%d%m%Y'))
how to use ax.get_ylim() in matplotlib,"ax.axhline(1, color='black', lw=2)"
how do you check if a string contains only numbers - python,str.isdigit()
adding calculated column(s) to a dataframe in pandas,d['A'][1:] < d['C'][:-1]
most pythonic way to print *at most* some number of decimal places,"format(f, '.2f').rstrip('0').rstrip('.')"
indexerror when trying to read_table with pandas,"len(['DATE', 'TIME', 'DLAT', 'DLON', 'SLAT', 'SLON', 'SHGT', 'HGT', 'N', 'E'])"
slicing a multidimensional list,[x[0] for x in listD[2]]
get a list of booleans `z` that shows wether the corresponding items in list `x` and `y` are equal,"z = [(i == j) for i, j in zip(x, y)]"
how to give a pandas/matplotlib bar graph custom colors,"df.plot(kind='bar', stacked=True, color=my_colors)"
changing line properties in matplotlib pie chart,plt.rcParams['line.color'] = 'white'
how to swap a group of column headings with their values in pandas,"df = df.assign(a5=['Foo', 'Bar', 'Baz'])"
convert scientific notation to decimal - python,print('Number is: %.8f' % float(a[0] / a[1]))
adding new key inside a new key and assigning value in python dictionary,dic['Test'].update({'class': {'section': 5}})
how to get every single permutation of a string?,"print([''.join(p) for i in range(1, len(s) + 1) for p in permutations(s, i)])"
dropping a single (sub-) column from a multiindex,"df.drop('a', level=1, axis=1)"
creating list of random numbers in python,print('{.5f}'.format(randomList[index]))
python: how to build a dict from plain list of keys and values,"dict(zip(i, i))"
"how to decode url to path in python, django",urllib.parse.unquote(url)
can i extend within a list of lists in python?,"[[1, 100313, 0, 0, 1], [2, 100313, 0, 0, 1], [1, 100314, 0, 1, 0], [3, 100315]]"
select all rows in dataframe `df` where the values of column 'columnx' is bigger than or equal to `x` and smaller than or equal to `y`,df[(x <= df['columnX']) & (df['columnX'] <= y)]
how to exclude a character from a regex group?,re.compile('[^a-zA-Z0-9-]+')
permanently set the current directory to the 'c:/users/name/desktop',os.chdir('C:/Users/Name/Desktop')
display a grayscale image from array of pixels `imagearray`,"imshow(imageArray, cmap='Greys_r')"
how does a descriptor with __set__ but without __get__ work?,myinst.__dict__['attr']
organizing list of tuples,"[(1, 4), (4, 8), (8, 10)]"
how can i print over the current line in a command line application?,sys.stdout.flush()
how can i make a scatter plot colored by density in matplotlib?,plt.show()
how do you convert yyyy-mm-ddthh:mm:ss.000z time format to mm/dd/yyyy time format in python?,print(d.strftime('%m/%d/%Y'))
sending a mail from flask-mail (smtpsenderrefused 530),app.config['MAIL_SERVER'] = 'smtp.gmail.com'
display a decimal in scientific notation,"""""""{:.2E}"""""".format(Decimal('40800000000.00000000000000'))"
convert a list to a dictionary in python,"b = {a[i]: a[i + 1] for i in range(0, len(a), 2)}"
how to sort a dataframe in python pandas by two or more columns?,"df.sort_values(['a', 'b'], ascending=[True, False])"
how can i exit fullscreen mode in pygame?,"pygame.display.set_mode(size, FULLSCREEN)"
python pickle/unpickle a list to/from a file 'afile',"pickle.load(open('afile', 'rb'))"
replace the single quote (') character from a string,""""""""""""".join([c for c in string if c != ""'""])"
how to convert hex string to integer in python?,"int('0x000000001', 16)"
writing nicely formatted text in python,"f.write('%-40s %6s %10s %2s\n' % (filename, type, size, modified))"
how to write a python script that can communicate with the input and output of a swift executable?,process.stdin.flush()
get a list of last trailing words from another list  of strings`original_list`,new_list = [x.split()[-1] for x in Original_List]
python: convert unicode string to mm/dd/yyyy,"datetime.datetime.strptime('Mar232012', '%b%d%Y').strftime('%m/%d/%Y')"
display a image file `pathtofile`,Image.open('pathToFile').show()
how do i save data from a modelform to database in django?,obj.save()
is it possible to add a string as a legend item in matplotlib,plt.show()
extracting first n columns of a numpy matrix,"a[:, :2]"
python - converting hex to int/char,[ord(c) for c in s.decode('hex')]
how to call a function from another file?,print(function())
check if string contains a certain amount of words of another string,"print([(s, s in st1) for s in re.findall(pat, st2)])"
"saving dictionary whose keys are tuples with json, python","json.dumps({str(k): v for k, v in data.items()})"
row-wise indexing in numpy,"i = np.array([[0], [1]])"
pytz - converting utc and timezone to local time,"pytz.utc.localize(utc_time, is_dst=None).astimezone(tz)"
"how to use regular expression to separate numbers and characters in strings like ""30m1000n20m""","re.findall('([0-9]+)([A-Z])', '20M10000N80M')"
get random sample from list while maintaining ordering of items?,"rand_smpl = [mylist[i] for i in sorted(random.sample(range(len(mylist)), 4))]"
python regular expression match whole word,"re.search('\\bis\\b', your_string)"
named tuples in a list,a = [mynamedtuple(*el) for el in a]
how to modify a variable inside a lambda function?,"myFunc(lambda a, b: iadd(a, b))"
create a list that contain each line of a file,"my_list = [line.split(',') for line in open('filename.txt')]"
how to serve static files in flask,app.run()
no minor grid lines on the x-axis only,"axes.xaxis.grid(False, which='minor')"
get a list of indices of non zero elements in a list `a`,"[i for i, e in enumerate(a) if e != 0]"
how can i send variables to jinja template from a flask decorator?,return render_template('template.html')
regex punctuation split [python],"re.split('\\W+', 'Words, words, words.')"
how to convert an ordereddict into a regular dict in python3,"dict(OrderedDict([('method', 'constant'), ('data', '1.225')]))"
how to use one app to satisfy multiple urls in django,"urlpatterns = patterns('', ('', include('myapp.urls')))"
convert dictionary of pairs `d` to a list of tuples,"[(v, k) for k, v in d.items()]"
remove items from a list while iterating,somelist = [x for x in somelist if not determine(x)]
return multiple lists from comprehension in python,"x, y = zip(*[(i, -1 * j) for i, j in enumerate(range(10))])"
python: how to remove values from 2 lists based on what's in 1 list,ind = [i for i in range(len(yVar)) if yVar[i] < 100]
how to count the number of words in a sentence?,len(s.split())
standard way to open a folder window in linux?,"os.system('xdg-open ""%s""' % foldername)"
fill missing indices in pandas,x.resample('D').fillna(0)
python sorting - a list of objects,somelist.sort(key=lambda x: x.resultType)
python regular expression to replace everything but specific words,"print(re.sub('(.+?)(going|you|$)', subit, s))"
get a utf-8 string literal representation of byte string `x`,"""""""x = {}"""""".format(x.decode('utf8')).encode('utf8')"
find all the occurrences of a character in a string,"[x.start() for x in re.finditer('\\|', str)]"
python: confusions with urljoin,"urljoin('http://some/more/', '/thing')"
how can i concatenate a series onto a dataframe with pandas?,"pd.concat([students, pd.DataFrame(marks)], axis=1)"
"distance between numpy arrays, columnwise","arr2.T[numpy.array(zip(list(range(0, 3)), list(range(1, 4))))]"
how do i make python to wait for a pressed key,input('Press Enter to continue...')
does anybody know of a good example of functional testing a python tkinter application?,Mainscreen()
taking a screenshot with pyglet [fix'd],pyglet.app.run()
deploy flask app as windows service,app.run(host='192.168.1.6')
throw an exception with message 'this is the exception you expect to handle',raise Exception('This is the exception you expect to handle')
fors in python list comprehension,[y for y in x for x in data]
finding index of an item closest to the value in a list that's not entirely sorted,"min(list(range(len(a))), key=lambda i: abs(a[i] - 11.5))"
python - how to sort a list of lists by the fourth element in each list?,unsorted_list.sort(key=lambda x: x[3])
